id,slug,url,title,short,long,level,visibility,category,tags,app_priority,status,updated_at,synonyms,sources,notes
001,aktie,https://lunori.de/glossar/aktie,Aktie,"Ein Wertpapier, das einen Anteil am Grundkapital einer Aktiengesellschaft verbrieft.","Eine Aktie ist ein Wertpapier, das dem Inhaber einen Anteil am Grundkapital einer Aktiengesellschaft (AG) verbrieft. Der Aktionär wird damit Miteigentümer des Unternehmens und hat verschiedene Rechte wie Stimmrecht auf der Hauptversammlung und Anspruch auf Dividende.",beginner,public,Wertpapiere,"aktie, wertpapier, börse, investment",high,active,2024-03-15,"Anteilsschein, Wertpapier","https://de.wikipedia.org/wiki/Aktie",Kernbegriff für Anleger
002,dividende,https://lunori.de/glossar/dividende,Dividende,"Der Teil des Unternehmensgewinns, der an die Aktionäre ausgeschüttet wird.","Die Dividende ist der Teil des Bilanzgewinns einer Aktiengesellschaft, der an die Aktionäre ausgeschüttet wird. Die Höhe wird von der Hauptversammlung beschlossen und wird pro Aktie gezahlt.",beginner,public,Wertpapiere,"dividende, gewinn, ausschüttung, ertrag",high,active,2024-03-14,"Gewinnausschüttung, Ausschüttung","https://de.wikipedia.org/wiki/Dividende",Wichtig für Dividendenstrategie
003,etf,https://lunori.de/glossar/etf,ETF,"Ein börsengehandelter Indexfonds, der einen Marktindex nachbildet.","Ein ETF (Exchange Traded Fund) ist ein börsengehandelter Indexfonds, der die Wertentwicklung eines Index wie des DAX oder S&P 500 nachbildet. ETFs ermöglichen eine kostengünstige und breit diversifizierte Geldanlage.",beginner,public,Fonds,"etf, fonds, index, diversifikation",high,active,2024-03-13,"Indexfonds, Exchange Traded Fund","https://de.wikipedia.org/wiki/Exchange-traded_fund",Sehr beliebtes Anlageprodukt
004,tagesgeld,https://lunori.de/glossar/tagesgeld,Tagesgeld,"Eine flexible Sparform mit täglicher Verfügbarkeit und variablem Zinssatz.","Tagesgeld ist eine Anlageform bei Banken, bei der das angelegte Geld täglich verfügbar ist. Der Zinssatz ist variabel und wird von der Bank festgelegt. Es gibt keine feste Laufzeit und das Kapital ist durch die Einlagensicherung geschützt.",beginner,public,Sparen,"tagesgeld, zinsen, sparen, flexibel",medium,active,2024-03-12,"Tagesgeldkonto, Tagesanlage","https://de.wikipedia.org/wiki/Tagesgeld",Einsteigerprodukt
005,festgeld,https://lunori.de/glossar/festgeld,Festgeld,"Eine Sparform mit festem Zinssatz für eine bestimmte Laufzeit.","Festgeld ist eine Anlageform, bei der Geld für einen festen Zeitraum zu einem garantierten Zinssatz angelegt wird. Während der Laufzeit ist das Geld nicht verfügbar. Festgeld bietet in der Regel höhere Zinsen als Tagesgeld.",beginner,public,Sparen,"festgeld, zinsen, laufzeit, sicher",medium,active,2024-03-11,"Termingeld, Festgeldkonto","https://de.wikipedia.org/wiki/Termineinlage",Für konservative Anleger
006,depot,https://lunori.de/glossar/depot,Depot,"Ein Konto zur Verwahrung von Wertpapieren.","Ein Depot (Wertpapierdepot) ist ein Konto, auf dem Wertpapiere wie Aktien, Anleihen oder Fonds elektronisch verwahrt werden. Es wird von Banken oder Online-Brokern angeboten und ermöglicht den Kauf und Verkauf von Wertpapieren.",beginner,public,Banking,"depot, wertpapier, broker, konto",high,active,2024-03-10,"Wertpapierdepot, Aktiendepot","https://de.wikipedia.org/wiki/Wertpapierdepot",Grundvoraussetzung für Börsenhandel
007,anleihe,https://lunori.de/glossar/anleihe,Anleihe,"Ein festverzinsliches Wertpapier, bei dem der Käufer dem Emittenten Geld leiht.","Eine Anleihe ist ein Schuldverschreibung, bei der der Anleger dem Herausgeber (Staat oder Unternehmen) Geld leiht. Dafür erhält er regelmäßige Zinszahlungen und am Ende der Laufzeit den Nennwert zurück.",intermediate,public,Wertpapiere,"anleihe, bond, zinsen, schuldverschreibung",medium,active,2024-03-09,"Bond, Rentenpapier, Schuldverschreibung","https://de.wikipedia.org/wiki/Anleihe",Wichtig für Portfolio-Diversifikation
008,sparplan,https://lunori.de/glossar/sparplan,Sparplan,"Regelmäßige automatische Investition eines festen Betrags.","Ein Sparplan ermöglicht regelmäßige Investitionen in Wertpapiere wie ETFs, Aktien oder Fonds. Durch den Cost-Average-Effekt werden Kursschwankungen ausgeglichen. Sparpläne eignen sich besonders für den langfristigen Vermögensaufbau.",beginner,public,Sparen,"sparplan, regelmäßig, vermögensaufbau",high,active,2024-03-08,"Wertpapiersparplan, ETF-Sparplan","https://de.wikipedia.org/wiki/Sparplan",Beliebt bei Einsteigern
009,robo-advisor,https://lunori.de/glossar/robo-advisor,Robo-Advisor,"Dieser Begriff wird nicht mehr verwendet.","Ein Robo-Advisor ist eine digitale Plattform, die automatisierte Anlageberatung und Portfoliomanagement anbietet. Basierend auf Algorithmen wird das Geld des Anlegers in ETFs investiert und automatisch rebalanciert.",intermediate,public,FinTech,"robo-advisor, digital, automatisch",low,deprecated,2024-01-15,"Digitaler Vermögensverwalter","https://de.wikipedia.org/wiki/Robo-Advisor",Begriff veraltet - durch KI-Berater ersetzt
010,inflation,https://lunori.de/glossar/inflation,Inflation,"Der anhaltende Anstieg des allgemeinen Preisniveaus.","Inflation beschreibt den anhaltenden Anstieg des allgemeinen Preisniveaus in einer Volkswirtschaft. Sie führt dazu, dass die Kaufkraft des Geldes sinkt - man kann sich für den gleichen Geldbetrag weniger kaufen.",beginner,public,Wirtschaft,"inflation, preis, kaufkraft, geld",medium,active,2024-03-07,"Teuerung, Geldentwertung","https://de.wikipedia.org/wiki/Inflation",Aktuell sehr relevant
